ACCOUNT_TYPE,TXN_YEAR,TXN_MONTH,TOT_BALANCE
Salary account,2018,6,92129403.0
NRI account,2020,2,91119990.6
Salary account,2018,8,90948812.6
NRI account,2018,1,90542515.6
Savings account,2018,8,89444025.2
Savings account,2018,5,88571955.5
Savings account,2018,7,87247477.6
Salary account,2018,7,87026055.5
Salary account,2020,2,86089813.6
NRI account,2018,7,85790469.6
Salary account,2018,5,85726921.9
NRI account,2018,5,81841076.4
Savings account,2018,4,81832524.2
Salary account,2017,12,79341267.5
Salary account,2018,4,78551933.3
Savings account,2018,3,77739288.8
NRI account,2018,4,75356624.1
Salary account,2018,3,72841958.3
NRI account,2018,3,71277949.5
Savings account,2017,12,69995102.0
NRI account,2017,12,68959710.7
Savings account,2018,2,63177970.7
Salary account,2018,2,62017042.0
NRI account,2018,2,58971211.8
Salary account,2017,11,58912072.0
Salary account,2017,10,51954451.3
Savings account,2017,11,51822085.2
NRI account,2017,11,51730685.8
Savings account,2017,10,51213250.8
NRI account,2017,10,45896393.9
Salary account,2017,9,44215172.8
Savings account,2017,9,41808550.1
NRI account,2017,9,38224936.0
Savings account,2017,8,38167410.8
Salary account,2017,8,36728558.0
NRI account,2017,8,32828026.2
Salary account,2017,7,32407041.3
Savings account,2017,7,29433960.5
NRI account,2017,7,27003580.9
Salary account,2017,6,24265452.9
NRI account,2017,6,23723793.2
Savings account,2017,6,22173862.7
Salary account,2017,5,16628777.3
Savings account,2017,5,16570160.5
NRI account,2017,5,14927993.3
Salary account,2017,4,10280468.6
Savings account,2017,4,9425202.0
NRI account,2017,4,8295272.4
Savings account,2017,3,5893311.7
Salary account,2017,3,5615425.5
NRI account,2017,3,5408993.2
Savings account,2017,2,3369551.6
NRI account,2017,2,2265638.5
Salary account,2017,2,1849845.4
Savings account,2017,1,795275.0
NRI account,2017,1,418661.3
Salary account,2017,1,337460.6
